Номер продукции;Коды ТН ВЭД ЕАЭС;Технические регламенты;Группа продукции;Общее наименование продукции;Причина ошибок
43302;8536699008;ТР ТС 004/2011 О безопасности низковольтного оборудования;Для бытового оборудования (бэп, брэа, телефоны, навигаторы, пэвм);Соединители электрические штепсельные бытовые: переходники (адаптеры),;['TOV_POZ', 'Группа продукции', 'pmi_Группа продукции/TOV_POZ']
15399;9504908009;ТР ТС 008/2011 О безопасности игрушек;Головоломки;Игры настольные для детей старше 3 лет, из дерева, в том числе с элементами из металла, без механизмов: Мини-настольная игра Мастер счёта, настольная игра Дженга мини, настольная игра Дженга.;['Группа продукции', 'TOV_POZ', 'pmi_Группа продукции/TOV_POZ']
49128;"7010904300; 7010904300";ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Посуда и столовые приборы (чашки, блюдца, поильники, тарелки, миски, ложки, вилки, бутылочки и другие аналогичные изделия детские для пищевых продуктов) из пластмассы, стекла, металла, посуда керамическая (фаянсовая, стеклокерамическая, гончарная и майоликовая), посуда одноразовая (из бумаги и картона), заявленные изготовителем как предназначенные для детей до 3 лет;Посуда из боросиликатного стекла, в том числе с элементами из пластмассы (полистирол), предназначенная для детей старше трёх лет и подростков: бутылочки для воды и напитков с крышкой.;['Группа продукции', 'GRUPPA', 'TOV_POZ']
19872;6216000000;ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Портфели, ранцы ученические, рюкзаки, сумки для детей дошкольного и школьного возраста, перчатки, рукавицы, ремни поясные и изделия мелкой кожгалантереи, заявленные изготовителем как предназначенные для детей и подростков;Изделия перчаточные для детей и подростков из тканей из синтетических нитей, в том числе на подкладке из хлопчатобумажных тканей с вложением эластомерных нитей, в том числе с утеплителем из синтетических волокон:;['Группа продукции', 'GRUPPA', 'TOV_POZ']
38206;8509;"ТР ТС 004/2011 О безопасности низковольтного оборудования; ТР ТС 020/2011 Электромагнитная совместимость технических средств";"Миксеры, кофемолки, кухонные машины (комбайны), процессоры пищевые, соковыжималки, маслобойки, мясорубки, блендеры, терки, взбивалки, картофелечистки, мороженицы, ножи, ножеточки, шинковки, ломтерезки, зернодробилки; Миксеры, кофемолки, кухонные машины (комбайны), процессоры пищевые, соковыжималки, маслобойки, мясорубки, блендеры, терки, взбивалки, картофелечистки, мороженицы, ножи, ножеточки, шинковки, ломтерезки, зернодробилки";Электрические приборы бытового назначения для механизации кухонных работ: штопоры,;['Группа продукции', 'TOV_POZ', 'pmi_Группа продукции/TOV_POZ']
14283;"6110209900; 6104430000";ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Пижамы, кальсоны, панталоны, фуфайки, комбинации, купальные изделия, трусы, майки и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков;Изделия 1-го слоя бельевые трикотажные из искусственной пряжи в смеси с синтетическими нитями (80% вискоза, 17% полиэстер, 3% эластан) для девочек от 4 до 16 лет:;['Группа продукции', 'TOV_POZ', 'pmi_Группа продукции/TOV_POZ']
33395;6504000000;ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Головные уборы (летние) 1-го слоя и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков;Головные уборы плетеные первого слоя (летние) для детей дошкольного, школьного возраста и подростков, из полос бумаги, из полос соломы,;['Группа продукции', 'TOV_POZ', 'pmi_Группа продукции/TOV_POZ']
64399;8438101000;"ТР ТС 010/2011 О безопасности машин и оборудования; ТР ТС 004/2011 О безопасности низковольтного оборудования";"Миксеры, кофемолки, кухонные машины (комбайны), процессоры пищевые, соковыжималки, маслобойки, мясорубки, блендеры, терки, взбивалки, картофелечистки, мороженицы, ножи, ножеточки, шинковки, ломтерезки, зернодробилки; Оборудование технологическое для пищевой, мясомолочной и рыбной промышленности";Оборудование технологическое для пищевой промышленности;['pmi_Технические регламенты/Группа продукции', 'TOV_POZ', 'GRUPPA', 'Группа продукции']
35771;"6114300000; 6109909000; 6109902000; 6114900000; 6114200000";ТР ТС 017/2011 О безопасности продукции легкой промышленности;Белье нательное;Изделия трикотажные первого слоя бельевые для взрослых, из чистошерстой пряжи, из смеси чистошерстяной и шелковой пряжи (нитей), из смеси чистошерстяной и синтетической пряжи (нитей), из смеси шелковой и синтетической пряжи (нитей), из смеси хлопчатобумажной и синтетической пряжи (нитей), синтетических нитей (спортивного назначения),;['pmi_Группа продукции/RAZDEL', 'pmi_Группа продукции/TOV_POZ', 'Группа продукции', 'pmi_RAZDEL/TOV_POZ', 'TOV_POZ']
2483;8521900009;"ТР ТС 004/2011 О безопасности низковольтного оборудования; ТР ТС 020/2011 Электромагнитная совместимость технических средств";"Аудио- видеозаписывающая и аудио-видеовоспроизводящая аппаратура; Аудио- видеозаписывающая и аудио- видеовоспроизводящая аппаратура";Аудиовидеовоспроизводящая аппаратура: проигрыватели виниловых дисков,;['TOV_POZ', 'pmi_GRUPPA/TOV_POZ', 'Группа продукции', 'pmi_Группа продукции/TOV_POZ']
