Технические регламенты;Группа продукции;RAZDEL;GRUPPA;TOV_POZ;pmi_Технические регламенты/Группа продукции;pmi_Технические регламенты/RAZDEL;pmi_Технические регламенты/GRUPPA;pmi_Технические регламенты/TOV_POZ;pmi_Группа продукции/RAZDEL;pmi_Группа продукции/GRUPPA;pmi_Группа продукции/TOV_POZ;pmi_RAZDEL/GRUPPA;pmi_RAZDEL/TOV_POZ;pmi_GRUPPA/TOV_POZ
ТР ЕАЭС 043/2017 О требованиях к средствам обеспечения пожарной безопасности и пожаротушения;Узлы пересечения противопожарных преград кабельными изделиями, шинопроводами, герметичными кабельными вводами, муфтами и трубопроводами инженерных систем зданий и сооружений;7;40;16;3.694631038420755;0.022697639754371366;-3.9077702972450634;-2.3853021566748356;-0.09471288705061946;0.08569304012325688;-0.5890633966427343;3.4017946744158607;-0.6706704786249826;-0.5518224444505399
ТР ЕАЭС 043/2017 О требованиях к средствам обеспечения пожарной безопасности и пожаротушения;Противопожарные окна, двери, двери шахт лифтов с нормируемым пределом огнестойкости, ворота, люки, шторы, роллеты, экраны, занавесы;15;73;8;3.694631038420755;2.426666908593336;2.1268189329174163;1.4753077867148594;3.4128381381225195;3.076642055822005;2.425130909619448;3.579665013483731;1.6671897474530495;1.5696662511398938
ТР ЕАЭС 043/2017 О требованиях к средствам обеспечения пожарной безопасности и пожаротушения;Клапаны противопожарные нормально открытые, клапаны противопожарные нормально закрытые, люки дымовые;16;84;15;3.694631038420755;-0.08305372816346228;0.34365172669286426;-2.6739848724807844;0.854855174757526;1.733116844922284;-0.4922816710471888;0.9056275001309492;-0.7901595763086838;-0.033484896643296416
ТР ЕАЭС 043/2017 О требованиях к средствам обеспечения пожарной безопасности и пожаротушения;Вытяжные вентиляторы;16;84;14;3.694631038420755;-0.08305372816346228;0.34365172669286426;1.1261912760194495;0.6920533998328903;1.570315069997648;4.5696082764684975;0.9056275001309492;0.6798672879255678;1.511192969071731
ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Пижамы, кальсоны, панталоны, фуфайки, комбинации, купальные изделия, трусы, майки и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков;11;61;8;1.7515981292020402;0.8845495389061413;0.9395679238746881;-0.1121527145092229;1.2728660788791326;1.6734269023167263;1.4824913480485413;1.5166412530326818;0.9537718753750867;1.1036315597545048
ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Пижамы, кальсоны, панталоны, фуфайки, комбинации, купальные изделия, трусы, майки и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков;11;61;7;1.7515981292020402;0.8845495389061413;0.9395679238746881;0.18210846723959812;1.2728660788791326;1.6734269023167263;1.8106860513064733;1.5166412530326818;1.0765661716822457;1.2240295428629393
ТР ТС 007/2011 О безопасности продукции, предназначенной для детей и подростков;Пижамы, кальсоны, панталоны, фуфайки, комбинации, купальные изделия, трусы, майки и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков;11;61;9;1.7515981292020402;0.8845495389061413;0.9395679238746881;0.1010946921845682;1.2728660788791326;1.6734269023167263;1.6150412334537458;1.5166412530326818;1.175994416322;1.5474481108253657
ТР ЕАЭС 043/2017 О требованиях к средствам обеспечения пожарной безопасности и пожаротушения;Клапаны противопожарные нормально открытые, клапаны противопожарные нормально закрытые, люки дымовые;16;84;81;3.694631038420755;-0.08305372816346228;0.34365172669286426;1.7699863801447835;0.854855174757526;1.733116844922284;4.3283191400466565;0.9056275001309492;0.9056275001309492;1.7838891702957071
ТР ТС 017/2011 О безопасности продукции легкой промышленности;Белье постельное;11;63;2;2.028612160029454;1.3436591633585449;1.6946060159034346;1.0422939433592602;1.4262398228882704;3.9791139538335165;3.3348804018545435;1.5168367182404974;0.8576775160448485;3.3582377598099264
ТР ТС 004/2011 О безопасности низковольтного оборудования;Светильники общего назначения;20;94;5;1.1422465252643157;-1.0322316487317107;0.39228392520837774;0.37234971030756053;1.8000767498784798;3.377295250403561;3.365497776895806;2.1974051165935826;1.5475648787885377;3.012556438456806
ТР ТС 020/2011 Электромагнитная совместимость технических средств;Автоматические устройства управления бытовыми электрическими приборами, работающие автономно;18;90;32;0.9358834746529794;0.6878553909245162;0.619196384185728;0.13901569914945922;3.2694102502711786;3.3229298906618117;3.704954881221084;3.9021284755001315;3.1960234536648042;3.2495430940554377
ТР ТС 004/2011 О безопасности низковольтного оборудования;Автоматические устройства управления бытовыми электрическими приборами, работающие автономно;18;90;32;1.0698786927608384;0.6027654912347882;0.5711738122091369;0.322704715387419;3.2694102502711786;3.3229298906618117;3.704954881221084;3.9021284755001315;3.1960234536648042;3.2495430940554377
